ts_code,symbol,name,area,industry,fullname,enname,list_date
688113.SH,688113.0,联测科技,江苏,专用机械,江苏联测机电科技股份有限公司,"Jiangsu Liance Electromechanical Technology Co., Ltd.",2021-05-06
688114.SH,688114.0,华大智造,深圳,医疗保健,深圳华大智造科技股份有限公司,"Mgi Tech Co., Ltd.",2022-09-09
688115.SH,688115.0,思林杰,广东,电器仪表,广州思林杰科技股份有限公司,"Smartgiant Technology Co., Ltd.",2022-03-14
688116.SH,688116.0,天奈科技,江苏,化工原料,江苏天奈科技股份有限公司,"Jiangsu Cnano Technology Co.,Ltd.",2019-09-25
688117.SH,688117.0,圣诺生物,四川,生物制药,成都圣诺生物科技股份有限公司,"ChengDu Sheng Nuo Biotec Co.,Ltd.",2021-06-03
688118.SH,688118.0,普元信息,上海,软件服务,普元信息技术股份有限公司,"Primeton Information Technologies, Inc.",2019-12-04
688119.SH,688119.0,中钢洛耐,河南,其他建材,中钢洛耐科技股份有限公司,"Sinosteel Luonai Materials Technology Co., Ltd.",2022-06-06
688120.SH,688120.0,华海清科,天津,半导体,华海清科股份有限公司,"Hwatsing Technology Co.,Ltd.",2022-06-08
688121.SH,688121.0,卓然股份,上海,专用机械,上海卓然工程技术股份有限公司,"Shanghai Supezet Engineering Technology Corp., Ltd.",2021-09-06
688122.SH,688122.0,西部超导,陕西,小金属,西部超导材料科技股份有限公司,"Western Superconducting Technologies Co., Ltd.",2019-07-22
688123.SH,688123.0,聚辰股份,上海,半导体,聚辰半导体股份有限公司,Giantec Semiconductor Corporation,2019-12-23
688125.SH,688125.0,安达智能,广东,专用机械,广东安达智能装备股份有限公司,"Guangdong Anda Automation Solutions Co.,Ltd.",2022-04-15
688126.SH,688126.0,沪硅产业,上海,半导体,上海硅产业集团股份有限公司,"National Silicon Industry Group Co.,Ltd.",2020-04-20
688127.SH,688127.0,蓝特光学,浙江,元器件,浙江蓝特光学股份有限公司,"Zhejiang Lante Optics Co.,Ltd.",2020-09-21
688128.SH,688128.0,中国电研,广东,专用机械,中国电器科学研究院股份有限公司,"China National Electric Apparatus Research Institute Co., Ltd.",2019-11-05
688129.SH,688129.0,东来技术,上海,染料涂料,东来涂料技术(上海)股份有限公司,"Donglai Coating Technology( Shanghai) Co.,Ltd",2020-10-23
688130.SH,688130.0,晶华微,浙江,半导体,杭州晶华微电子股份有限公司,Hangzhou Sdic Microelectronics Inc.,2022-07-29
688131.SH,688131.0,皓元医药,上海,化学制药,上海皓元医药股份有限公司,"Shanghai Haoyuan Chemexpress Co.,Ltd.",2021-06-08
688132.SH,688132.0,邦彦技术,深圳,通信设备,邦彦技术股份有限公司,"Bangyan Technology Co.,Ltd.",2022-09-23
688133.SH,688133.0,泰坦科技,上海,化工原料,上海泰坦科技股份有限公司,"Shanghai Titan Scientific Co.,Ltd.",2020-10-30
688135.SH,688135.0,利扬芯片,广东,半导体,广东利扬芯片测试股份有限公司,"Guangdong Leadyo IC Testing Co.,Ltd.",2020-11-11
688136.SH,688136.0,科兴制药,山东,生物制药,科兴生物制药股份有限公司,"Kexing Biopharm Co., Ltd.",2020-12-14
